Instruction 1,Instruction 2,Conflict Type
"OR R13, R1, R2","XOR R13, R3, 10",No_CONFLICT
"STORE R6, R0, 34","AND R6, R6, R2",RAW
"OR R7, R0, 28","LOAD R2, R7, R2",RAW
"MUL R2, R1, R2","SHIFT R0, R3, 10",No_CONFLICT
"DIV R15, R1, R2","OR R9, R15, R3",WAR
"LOAD R1, R1, R2","XOR R7, R3, 10",No_CONFLICT
"ADD R15, R1, R2","SHIFT R7, R15, R3",WAR
"STORE R2, R1, R2","SHIFT R15, R2, R3",WAR
"LOAD R14, R1, R2","XOR R0, R14, R3",WAR
"MUL R1, R0, 25","MUL R1, R0, 19",WAW
"OR R4, R1, R2","SHIFT R11, R4, R3",WAR
"AND R10, R0, 7","XOR R7, R10, R2",RAW
"STORE R0, R0, 19","OR R0, R0, 36",WAW
"AND R3, R0, 30","ADD R3, R0, 44",WAW
"XOR R7, R1, R2","LOAD R11, R7, R3",WAR
"SHIFT R5, R1, R2","MUL R4, R3, 10",No_CONFLICT
"XOR R7, R0, 12","MUL R7, R0, 40",WAW
"AND R13, R1, R2","OR R8, R3, 10",No_CONFLICT
"LOAD R12, R1, R2","SHIFT R12, R3, 10",No_CONFLICT
"STORE R10, R1, R2","ADD R6, R3, 10",No_CONFLICT
"DIV R3, R1, R2","AND R2, R3, R3",WAR
"AND R14, R1, R2","AND R14, R14, R3",WAR
"DIV R9, R0, 18","XOR R9, R0, 16",WAW
"LOAD R12, R0, 40","OR R15, R12, R2",RAW
"SUB R10, R1, R2","SHIFT R15, R10, R3",WAR
"SUB R15, R0, 47","MUL R15, R0, 48",WAW
"STORE R4, R0, 34","AND R11, R4, R2",RAW
"MUL R0, R0, 45","SHIFT R15, R0, R2",RAW
"DIV R3, R1, R2","DIV R2, R3, 10",No_CONFLICT
"SUB R12, R1, R2","MUL R15, R3, 10",No_CONFLICT
"DIV R11, R0, 47","ADD R3, R11, R2",RAW
"MUL R0, R0, 6","SHIFT R5, R0, R2",RAW
"SHIFT R15, R1, R2","OR R1, R15, R3",WAR
"AND R5, R1, R2","AND R10, R5, R3",WAR
"DIV R14, R1, R2","MUL R1, R3, 10",No_CONFLICT
"LOAD R10, R1, R2","LOAD R12, R10, R3",WAR
"DIV R5, R1, R2","XOR R4, R3, 10",No_CONFLICT
"SHIFT R0, R1, R2","ADD R13, R3, 10",No_CONFLICT
"LOAD R1, R1, R2","DIV R3, R1, R3",WAR
"SHIFT R8, R0, 10","SHIFT R8, R0, 6",WAW
"STORE R14, R0, 12","STORE R9, R14, R2",RAW
"LOAD R13, R1, R2","LOAD R0, R3, 10",No_CONFLICT
"SHIFT R13, R1, R2","OR R6, R13, R3",WAR
"AND R1, R0, 50","OR R13, R1, R2",RAW
"OR R15, R1, R2","AND R11, R3, 10",No_CONFLICT
"LOAD R3, R1, R2","OR R0, R3, 10",No_CONFLICT
"LOAD R6, R1, R2","DIV R9, R3, 10",No_CONFLICT
"SUB R10, R0, 2","ADD R15, R10, R2",RAW
"AND R11, R0, 0","SHIFT R11, R0, 1",WAW
"XOR R9, R1, R2","MUL R7, R9, R3",WAR
"MUL R14, R1, R2","SHIFT R12, R14, R3",WAR
"SUB R4, R0, 46","STORE R11, R4, R2",RAW
"SUB R1, R1, R2","AND R5, R3, 10",No_CONFLICT
"ADD R3, R1, R2","DIV R0, R3, 10",No_CONFLICT
"SHIFT R10, R0, 10","STORE R2, R10, R2",RAW
"SHIFT R15, R0, 33","LOAD R15, R0, 0",WAW
"DIV R11, R1, R2","SHIFT R12, R11, R3",WAR
"XOR R3, R1, R2","SHIFT R14, R3, 10",No_CONFLICT
"SUB R9, R0, 46","XOR R9, R0, 42",WAW
"XOR R14, R0, 2","STORE R13, R14, R2",RAW
"LOAD R4, R0, 39","XOR R4, R0, 45",WAW
"STORE R5, R0, 14","MUL R11, R5, R2",RAW
"LOAD R10, R1, R2","SUB R15, R3, 10",No_CONFLICT
"STORE R1, R0, 24","XOR R5, R1, R2",RAW
"OR R12, R1, R2","SUB R2, R12, R3",WAR
"ADD R14, R1, R2","SUB R3, R3, 10",No_CONFLICT
"XOR R10, R0, 0","SUB R10, R0, 49",WAW
"SUB R1, R1, R2","MUL R12, R1, R3",WAR
"SHIFT R2, R0, 42","SUB R2, R0, 25",WAW
"XOR R3, R1, R2","MUL R14, R3, R3",WAR
"SUB R12, R1, R2","ADD R13, R3, 10",No_CONFLICT
"AND R5, R0, 33","XOR R12, R5, R2",RAW
"SUB R4, R0, 21","XOR R4, R0, 43",WAW
"OR R5, R1, R2","AND R14, R3, 10",No_CONFLICT
"AND R5, R0, 27","SUB R5, R0, 36",WAW
"OR R4, R0, 50","SUB R12, R4, R2",RAW
"STORE R5, R1, R2","LOAD R10, R5, R3",WAR
"LOAD R8, R0, 29","SHIFT R8, R0, 0",WAW
"AND R8, R0, 30","XOR R3, R8, R2",RAW
"STORE R10, R0, 17","LOAD R14, R10, R2",RAW
"MUL R1, R0, 42","ADD R8, R1, R2",RAW
"SUB R10, R0, 36","AND R8, R10, R2",RAW
"XOR R12, R1, R2","AND R13, R3, 10",No_CONFLICT
"MUL R9, R1, R2","MUL R4, R9, R3",WAR
"XOR R12, R1, R2","SUB R3, R3, 10",No_CONFLICT
"MUL R12, R1, R2","AND R5, R3, 10",No_CONFLICT
"AND R1, R0, 17","STORE R7, R1, R2",RAW
"DIV R9, R1, R2","ADD R12, R3, 10",No_CONFLICT
"XOR R7, R0, 0","AND R7, R7, R2",RAW
"SHIFT R13, R0, 4","XOR R13, R0, 5",WAW
"XOR R8, R0, 28","MUL R8, R0, 39",WAW
"SHIFT R0, R1, R2","AND R9, R3, 10",No_CONFLICT
"DIV R9, R0, 23","DIV R9, R0, 48",WAW
"SHIFT R3, R1, R2","STORE R11, R3, 10",No_CONFLICT
"MUL R10, R0, 5","OR R10, R0, 32",WAW
"XOR R8, R1, R2","MUL R10, R8, R3",WAR
"XOR R4, R1, R2","MUL R6, R4, R3",WAR
"DIV R1, R0, 22","SHIFT R0, R1, R2",RAW
"MUL R7, R0, 0","STORE R7, R0, 22",WAW
"LOAD R9, R0, 2","OR R8, R9, R2",RAW
"DIV R10, R1, R2","ADD R10, R3, 10",No_CONFLICT
"OR R3, R0, 39","DIV R0, R3, R2",RAW
"DIV R2, R0, 20","LOAD R2, R0, 18",WAW
"MUL R1, R1, R2","AND R10, R1, R3",WAR
"OR R1, R0, 15","MUL R1, R0, 5",WAW
"OR R4, R1, R2","STORE R14, R3, 10",No_CONFLICT
"ADD R7, R0, 40","MUL R0, R7, R2",RAW
"SHIFT R5, R1, R2","XOR R4, R5, R3",WAR
"SUB R13, R0, 21","SHIFT R13, R0, 10",WAW
"SUB R7, R0, 24","XOR R7, R0, 42",WAW
"STORE R13, R1, R2","AND R14, R13, R3",WAR
"AND R11, R0, 22","AND R10, R11, R2",RAW
"SHIFT R12, R0, 42","SUB R5, R12, R2",RAW
"LOAD R8, R0, 38","MUL R8, R0, 29",WAW
"DIV R1, R0, 39","SHIFT R9, R1, R2",RAW
"OR R9, R1, R2","STORE R13, R3, 10",No_CONFLICT
"XOR R6, R1, R2","DIV R12, R3, 10",No_CONFLICT
"LOAD R10, R0, 13","ADD R10, R0, 48",WAW
"MUL R4, R0, 24","SHIFT R13, R4, R2",RAW
"OR R14, R1, R2","AND R8, R14, R3",WAR
"STORE R9, R1, R2","DIV R1, R9, R3",WAR
"OR R13, R0, 37","XOR R13, R0, 32",WAW
"LOAD R11, R0, 20","STORE R7, R11, R2",RAW
"AND R7, R1, R2","AND R0, R3, 10",No_CONFLICT
"STORE R0, R1, R2","AND R7, R3, 10",No_CONFLICT
"SHIFT R9, R0, 8","LOAD R0, R9, R2",RAW
"ADD R15, R1, R2","XOR R2, R3, 10",No_CONFLICT
"ADD R7, R1, R2","SUB R9, R7, R3",WAR
"AND R1, R0, 8","STORE R7, R1, R2",RAW
"SHIFT R4, R0, 13","ADD R4, R0, 4",WAW
"LOAD R5, R0, 43","OR R13, R5, R2",RAW
"XOR R15, R1, R2","DIV R14, R15, R3",WAR
"XOR R7, R1, R2","SHIFT R1, R3, 10",No_CONFLICT
"OR R7, R1, R2","ADD R11, R7, R3",WAR
"ADD R10, R1, R2","STORE R2, R10, R3",WAR
"SUB R11, R0, 21","SUB R11, R0, 23",WAW
"LOAD R1, R0, 13","XOR R1, R0, 45",WAW
"SHIFT R7, R0, 44","ADD R7, R0, 22",WAW
"DIV R5, R0, 5","DIV R5, R0, 30",WAW
"SHIFT R1, R1, R2","DIV R1, R3, 10",No_CONFLICT
"AND R4, R1, R2","OR R8, R4, R3",WAR
"AND R2, R1, R2","SUB R8, R2, R3",WAR
"AND R10, R1, R2","SHIFT R10, R3, 10",No_CONFLICT
"SUB R13, R1, R2","DIV R0, R13, R3",WAR
"MUL R0, R0, 50","SUB R2, R0, R2",RAW
"SUB R10, R0, 43","SUB R4, R10, R2",RAW
"AND R7, R0, 49","DIV R7, R0, 2",WAW
"ADD R4, R0, 34","MUL R4, R4, R2",RAW
"MUL R4, R0, 50","MUL R4, R0, 42",WAW
"OR R5, R0, 36","OR R5, R0, 1",WAW
"LOAD R0, R0, 1","LOAD R8, R0, R2",RAW
"MUL R12, R0, 18","DIV R12, R0, 9",WAW
"ADD R12, R1, R2","ADD R9, R12, R3",WAR
"STORE R8, R1, R2","ADD R11, R3, 10",No_CONFLICT
"SHIFT R3, R1, R2","OR R9, R3, 10",No_CONFLICT
"OR R13, R0, 16","ADD R13, R0, 15",WAW
"AND R1, R1, R2","DIV R9, R3, 10",No_CONFLICT
"XOR R10, R0, 45","DIV R10, R0, 33",WAW
"DIV R13, R1, R2","LOAD R9, R3, 10",No_CONFLICT
"DIV R0, R1, R2","SUB R15, R3, 10",No_CONFLICT
"AND R0, R0, 46","MUL R0, R0, 34",WAW
"SHIFT R8, R0, 15","AND R8, R0, 0",WAW
"SUB R3, R0, 12","LOAD R15, R3, R2",RAW
"XOR R10, R0, 45","DIV R10, R0, 12",WAW
"STORE R13, R0, 21","ADD R12, R13, R2",RAW
"DIV R15, R1, R2","ADD R2, R3, 10",No_CONFLICT
"STORE R6, R0, 18","XOR R12, R6, R2",RAW
"XOR R2, R0, 19","SUB R2, R0, 24",WAW
"LOAD R7, R0, 44","AND R7, R0, 24",WAW
"LOAD R10, R1, R2","OR R6, R3, 10",No_CONFLICT
"MUL R6, R1, R2","DIV R8, R3, 10",No_CONFLICT
"SUB R13, R0, 34","SHIFT R13, R0, 10",WAW
"DIV R13, R1, R2","SUB R15, R13, R3",WAR
"DIV R0, R1, R2","XOR R11, R3, 10",No_CONFLICT
"STORE R12, R0, 19","SUB R11, R12, R2",RAW
"SHIFT R9, R0, 10","XOR R9, R0, 18",WAW
"OR R9, R1, R2","OR R12, R3, 10",No_CONFLICT
"OR R13, R0, 30","AND R11, R13, R2",RAW
"MUL R14, R0, 1","ADD R14, R0, 26",WAW
"STORE R8, R0, 32","LOAD R15, R8, R2",RAW
"OR R14, R0, 21","SHIFT R2, R14, R2",RAW
"DIV R7, R0, 5","AND R7, R7, R2",RAW
"MUL R14, R1, R2","SHIFT R11, R3, 10",No_CONFLICT
"SUB R3, R1, R2","XOR R1, R3, R3",WAR
"MUL R10, R0, 20","ADD R10, R0, 34",WAW
"ADD R8, R1, R2","MUL R6, R8, R3",WAR
"OR R10, R0, 40","STORE R10, R0, 36",WAW
"XOR R6, R0, 33","MUL R6, R0, 36",WAW
"MUL R6, R1, R2","STORE R15, R6, R3",WAR
"SHIFT R6, R1, R2","XOR R9, R3, 10",No_CONFLICT
"SUB R8, R1, R2","MUL R12, R8, R3",WAR
"XOR R5, R1, R2","MUL R0, R5, R3",WAR
"SHIFT R15, R0, 30","ADD R15, R0, 5",WAW
"STORE R1, R0, 12","XOR R9, R1, R2",RAW
"XOR R7, R1, R2","MUL R8, R7, R3",WAR
"MUL R1, R0, 44","DIV R1, R0, 13",WAW
"ADD R5, R1, R2","OR R10, R3, 10",No_CONFLICT
"SUB R7, R1, R2","SHIFT R0, R7, R3",WAR
"SUB R14, R0, 29","ADD R14, R0, 24",WAW
"ADD R13, R1, R2","MUL R13, R13, R3",WAR
"ADD R7, R0, 1","DIV R7, R0, 2",WAW
"OR R2, R1, R2","SHIFT R14, R2, R3",WAR
"LOAD R2, R0, 49","SHIFT R2, R2, R2",RAW
"LOAD R1, R0, 41","SHIFT R12, R1, R2",RAW
"STORE R5, R1, R2","SHIFT R8, R5, R3",WAR
"SUB R12, R0, 42","AND R12, R0, 11",WAW
"ADD R6, R1, R2","OR R14, R3, 10",No_CONFLICT
"SUB R8, R0, 24","DIV R11, R8, R2",RAW
"AND R1, R0, 39","LOAD R13, R1, R2",RAW
"DIV R7, R1, R2","SUB R11, R7, R3",WAR
"STORE R14, R0, 17","SHIFT R14, R0, 40",WAW
"ADD R8, R0, 33","SUB R9, R8, R2",RAW
"STORE R14, R0, 22","DIV R14, R0, 12",WAW
"AND R12, R1, R2","XOR R12, R12, R3",WAR
"AND R6, R0, 33","MUL R12, R6, R2",RAW
"DIV R10, R0, 5","OR R10, R0, 6",WAW
"LOAD R3, R0, 17","XOR R1, R3, R2",RAW
"OR R14, R0, 24","SUB R14, R0, 45",WAW
"XOR R13, R1, R2","SHIFT R5, R3, 10",No_CONFLICT
"MUL R10, R0, 46","XOR R10, R0, 21",WAW
"MUL R7, R1, R2","LOAD R5, R3, 10",No_CONFLICT
"XOR R8, R1, R2","AND R6, R3, 10",No_CONFLICT
"AND R13, R0, 40","MUL R13, R0, 15",WAW
"OR R5, R0, 14","SHIFT R13, R5, R2",RAW
"LOAD R1, R1, R2","LOAD R14, R3, 10",No_CONFLICT
"SHIFT R5, R1, R2","LOAD R3, R3, 10",No_CONFLICT
"DIV R7, R1, R2","OR R6, R3, 10",No_CONFLICT
"AND R8, R0, 4","STORE R15, R8, R2",RAW
"AND R15, R1, R2","OR R8, R3, 10",No_CONFLICT
"LOAD R15, R1, R2","XOR R0, R3, 10",No_CONFLICT
"ADD R4, R1, R2","DIV R3, R3, 10",No_CONFLICT
"DIV R15, R0, 37","SUB R13, R15, R2",RAW
"ADD R0, R1, R2","SHIFT R8, R0, R3",WAR
"MUL R15, R0, 29","OR R15, R0, 1",WAW
"XOR R0, R0, 35","XOR R8, R0, R2",RAW
"DIV R13, R0, 26","ADD R13, R0, 30",WAW
"SHIFT R15, R0, 28","SUB R15, R0, 21",WAW
"AND R0, R1, R2","OR R10, R0, R3",WAR
"LOAD R11, R0, 46","LOAD R11, R0, 12",WAW
"XOR R10, R1, R2","XOR R13, R10, R3",WAR
"DIV R4, R0, 10","DIV R10, R4, R2",RAW
"XOR R5, R1, R2","LOAD R4, R5, R3",WAR
"DIV R15, R0, 21","SHIFT R3, R15, R2",RAW
"OR R15, R1, R2","AND R2, R15, R3",WAR
"SHIFT R14, R0, 42","DIV R14, R14, R2",RAW
"XOR R14, R0, 19","SHIFT R2, R14, R2",RAW
"OR R11, R1, R2","SHIFT R12, R11, R3",WAR
"MUL R10, R0, 17","STORE R10, R0, 38",WAW
"LOAD R15, R1, R2","STORE R7, R15, R3",WAR
"XOR R3, R1, R2","DIV R15, R3, 10",No_CONFLICT
"SHIFT R9, R0, 31","MUL R6, R9, R2",RAW
"LOAD R8, R1, R2","MUL R1, R3, 10",No_CONFLICT
"SHIFT R11, R0, 40","DIV R11, R0, 25",WAW
"XOR R2, R1, R2","ADD R6, R3, 10",No_CONFLICT
"AND R1, R0, 31","OR R9, R1, R2",RAW
"AND R0, R0, 48","DIV R0, R0, 0",WAW
"DIV R1, R1, R2","AND R4, R3, 10",No_CONFLICT
"XOR R4, R0, 17","XOR R4, R0, 31",WAW
"OR R12, R0, 9","LOAD R12, R0, 44",WAW
"SHIFT R15, R1, R2","OR R10, R15, R3",WAR
"LOAD R14, R0, 39","SHIFT R14, R0, 22",WAW
"STORE R13, R1, R2","OR R13, R13, R3",WAR
"STORE R6, R1, R2","STORE R6, R6, R3",WAR
"MUL R8, R1, R2","SUB R0, R3, 10",No_CONFLICT
"SUB R0, R1, R2","XOR R14, R0, R3",WAR
"STORE R10, R1, R2","AND R5, R10, R3",WAR
"DIV R12, R0, 7","LOAD R3, R12, R2",RAW
"OR R14, R0, 1","LOAD R14, R0, 34",WAW
"STORE R9, R0, 9","SUB R0, R9, R2",RAW
"SHIFT R14, R1, R2","SHIFT R12, R14, R3",WAR
"MUL R13, R1, R2","XOR R1, R3, 10",No_CONFLICT
"DIV R2, R0, 0","LOAD R0, R2, R2",RAW
"AND R0, R1, R2","SHIFT R4, R3, 10",No_CONFLICT
"SUB R12, R1, R2","AND R14, R12, R3",WAR
"SUB R15, R0, 27","AND R5, R15, R2",RAW
"DIV R11, R0, 5","AND R11, R0, 44",WAW
"ADD R13, R0, 11","XOR R13, R0, 45",WAW
"AND R2, R1, R2","MUL R3, R3, 10",No_CONFLICT
"STORE R7, R1, R2","SUB R0, R7, R3",WAR
"AND R3, R0, 13","LOAD R3, R0, 42",WAW
"STORE R0, R1, R2","OR R3, R3, 10",No_CONFLICT
"MUL R1, R1, R2","AND R6, R3, 10",No_CONFLICT
"XOR R5, R1, R2","ADD R15, R5, R3",WAR
"OR R14, R0, 22","SUB R14, R0, 22",WAW
"STORE R13, R0, 38","XOR R9, R13, R2",RAW
"SHIFT R0, R1, R2","DIV R2, R0, R3",WAR
"AND R0, R0, 12","MUL R0, R0, 48",WAW
"AND R6, R0, 46","SHIFT R5, R6, R2",RAW
"SUB R8, R1, R2","DIV R7, R3, 10",No_CONFLICT
"XOR R5, R1, R2","XOR R6, R5, R3",WAR
"OR R9, R0, 6","MUL R9, R0, 1",WAW
"SUB R2, R1, R2","STORE R5, R2, R3",WAR
"SHIFT R12, R0, 40","AND R12, R0, 39",WAW
"OR R5, R1, R2","SHIFT R7, R3, 10",No_CONFLICT
"MUL R15, R0, 9","OR R15, R0, 9",WAW
"STORE R6, R0, 3","XOR R6, R0, 17",WAW
"LOAD R2, R1, R2","XOR R14, R3, 10",No_CONFLICT
"XOR R4, R0, 12","STORE R10, R4, R2",RAW
"DIV R6, R1, R2","LOAD R13, R6, R3",WAR
"XOR R7, R0, 10","SHIFT R0, R7, R2",RAW
"OR R8, R1, R2","XOR R15, R8, R3",WAR
"XOR R15, R0, 2","SHIFT R1, R15, R2",RAW
"LOAD R3, R1, R2","STORE R12, R3, R3",WAR
"STORE R10, R1, R2","ADD R3, R10, R3",WAR
"ADD R10, R0, 4","SHIFT R10, R0, 34",WAW
"AND R2, R1, R2","SHIFT R6, R3, 10",No_CONFLICT
"MUL R1, R0, 7","XOR R1, R0, 50",WAW
"ADD R2, R1, R2","SUB R12, R3, 10",No_CONFLICT
"SHIFT R5, R1, R2","AND R12, R5, R3",WAR
"LOAD R14, R0, 33","OR R8, R14, R2",RAW
"LOAD R6, R0, 23","ADD R11, R6, R2",RAW
"STORE R14, R1, R2","MUL R1, R14, R3",WAR
"SUB R5, R0, 19","XOR R5, R0, 29",WAW
"OR R5, R1, R2","SHIFT R14, R3, 10",No_CONFLICT
"LOAD R12, R1, R2","LOAD R14, R3, 10",No_CONFLICT
"SHIFT R8, R1, R2","LOAD R9, R8, R3",WAR
"MUL R15, R1, R2","STORE R12, R15, R3",WAR
"SHIFT R2, R0, 8","OR R2, R0, 39",WAW
"MUL R8, R1, R2","DIV R10, R3, 10",No_CONFLICT
"ADD R0, R1, R2","MUL R7, R0, R3",WAR
"SHIFT R7, R1, R2","LOAD R11, R7, R3",WAR
"STORE R3, R1, R2","DIV R12, R3, R3",WAR
"SUB R6, R1, R2","XOR R10, R6, R3",WAR
"MUL R1, R0, 40","DIV R1, R0, 25",WAW
"ADD R4, R0, 46","SUB R0, R4, R2",RAW
"OR R3, R1, R2","MUL R8, R3, R3",WAR
"OR R9, R1, R2","AND R4, R9, R3",WAR
"ADD R11, R0, 36","SUB R11, R0, 39",WAW
"LOAD R7, R0, 8","SUB R13, R7, R2",RAW
"LOAD R6, R0, 32","XOR R6, R0, 26",WAW
"XOR R8, R1, R2","SHIFT R0, R3, 10",No_CONFLICT
"ADD R7, R1, R2","ADD R2, R3, 10",No_CONFLICT
"ADD R12, R0, 39","MUL R13, R12, R2",RAW
"MUL R6, R0, 46","SHIFT R6, R0, 37",WAW
"STORE R14, R0, 48","XOR R14, R0, 40",WAW
"OR R8, R0, 29","STORE R8, R0, 33",WAW
"SHIFT R12, R1, R2","STORE R5, R12, R3",WAR
"STORE R4, R1, R2","DIV R0, R3, 10",No_CONFLICT
"ADD R1, R0, 15","SHIFT R1, R0, 36",WAW
"SUB R15, R0, 36","LOAD R15, R0, 40",WAW
"SHIFT R6, R0, 31","MUL R7, R6, R2",RAW
"XOR R2, R0, 29","STORE R9, R2, R2",RAW
"STORE R7, R1, R2","OR R4, R7, R3",WAR
"LOAD R0, R0, 21","LOAD R0, R0, 1",WAW
"SHIFT R9, R1, R2","MUL R12, R9, R3",WAR
"SUB R9, R1, R2","AND R3, R9, R3",WAR
"ADD R3, R1, R2","STORE R15, R3, 10",No_CONFLICT
"LOAD R0, R0, 1","SHIFT R0, R0, 34",WAW
"XOR R13, R0, 29","SUB R13, R0, 44",WAW
"XOR R14, R1, R2","SUB R8, R14, R3",WAR
"MUL R7, R1, R2","SUB R15, R7, R3",WAR
"SUB R1, R0, 39","SHIFT R7, R1, R2",RAW
"MUL R7, R0, 25","OR R7, R0, 1",WAW
"STORE R2, R0, 36","XOR R2, R0, 34",WAW
"LOAD R14, R0, 42","ADD R14, R0, 38",WAW
"STORE R6, R0, 27","MUL R12, R6, R2",RAW
"AND R5, R0, 48","SUB R5, R0, 44",WAW
"XOR R1, R0, 29","XOR R8, R1, R2",RAW
"AND R2, R1, R2","DIV R2, R2, R3",WAR
"DIV R11, R1, R2","SUB R1, R11, R3",WAR
"MUL R13, R1, R2","ADD R8, R3, 10",No_CONFLICT
"XOR R13, R1, R2","AND R4, R3, 10",No_CONFLICT
"MUL R15, R1, R2","DIV R2, R15, R3",WAR
"SHIFT R14, R1, R2","SHIFT R3, R3, 10",No_CONFLICT
"SUB R0, R0, 20","XOR R3, R0, R2",RAW
"LOAD R5, R1, R2","STORE R10, R5, R3",WAR
"ADD R6, R1, R2","DIV R1, R3, 10",No_CONFLICT
"LOAD R0, R1, R2","STORE R11, R3, 10",No_CONFLICT
"LOAD R13, R1, R2","STORE R5, R13, R3",WAR
"XOR R10, R1, R2","LOAD R9, R10, R3",WAR
"ADD R7, R1, R2","LOAD R1, R3, 10",No_CONFLICT
"MUL R6, R1, R2","STORE R12, R3, 10",No_CONFLICT
"SUB R11, R0, 2","SHIFT R13, R11, R2",RAW
"ADD R6, R0, 35","SUB R4, R6, R2",RAW
"STORE R12, R1, R2","DIV R11, R12, R3",WAR
"MUL R9, R0, 34","OR R9, R0, 31",WAW
"ADD R13, R0, 28","SUB R13, R0, 39",WAW
"OR R6, R1, R2","LOAD R7, R6, R3",WAR
"STORE R5, R1, R2","ADD R3, R3, 10",No_CONFLICT
"ADD R10, R0, 34","AND R10, R0, 38",WAW
"AND R1, R1, R2","SHIFT R2, R1, R3",WAR
"SHIFT R9, R0, 8","LOAD R15, R9, R2",RAW
"ADD R3, R1, R2","DIV R10, R3, R3",WAR
"ADD R4, R1, R2","OR R4, R4, R3",WAR
"AND R4, R1, R2","ADD R12, R3, 10",No_CONFLICT
"SHIFT R12, R0, 13","STORE R12, R0, 25",WAW
"MUL R1, R0, 3","SHIFT R13, R1, R2",RAW
"OR R2, R0, 11","ADD R2, R0, 44",WAW
"DIV R15, R0, 2","STORE R8, R15, R2",RAW
"MUL R15, R0, 26","LOAD R15, R0, 1",WAW
"DIV R12, R0, 36","OR R9, R12, R2",RAW
"LOAD R5, R1, R2","XOR R15, R3, 10",No_CONFLICT
"AND R3, R1, R2","AND R10, R3, R3",WAR
"LOAD R8, R1, R2","MUL R4, R8, R3",WAR
"LOAD R0, R0, 11","AND R14, R0, R2",RAW
"LOAD R11, R1, R2","LOAD R14, R3, 10",No_CONFLICT
"SHIFT R0, R1, R2","SUB R4, R0, R3",WAR
"STORE R14, R1, R2","AND R9, R3, 10",No_CONFLICT
"LOAD R10, R0, 48","MUL R11, R10, R2",RAW
"MUL R0, R1, R2","SUB R0, R3, 10",No_CONFLICT
"AND R14, R1, R2","AND R9, R14, R3",WAR
"STORE R1, R1, R2","ADD R15, R1, R3",WAR
"SHIFT R4, R1, R2","SHIFT R12, R3, 10",No_CONFLICT
"OR R10, R0, 37","AND R10, R0, 4",WAW
"XOR R8, R0, 4","STORE R7, R8, R2",RAW
"OR R15, R1, R2","MUL R15, R3, 10",No_CONFLICT
"LOAD R5, R1, R2","SHIFT R0, R3, 10",No_CONFLICT
"SUB R5, R1, R2","XOR R14, R5, R3",WAR
"OR R6, R0, 48","AND R6, R0, 11",WAW
"SHIFT R0, R0, 21","LOAD R0, R0, 43",WAW
"SHIFT R6, R0, 41","STORE R6, R0, 17",WAW
"MUL R15, R0, 38","XOR R3, R15, R2",RAW
"SUB R10, R0, 43","MUL R0, R10, R2",RAW
"SUB R0, R0, 27","AND R9, R0, R2",RAW
"AND R8, R0, 41","SUB R2, R8, R2",RAW
"STORE R14, R1, R2","SUB R12, R14, R3",WAR
"LOAD R1, R0, 23","DIV R1, R0, 31",WAW
"AND R14, R1, R2","SHIFT R10, R14, R3",WAR
"SHIFT R7, R0, 1","XOR R7, R0, 12",WAW
"SHIFT R13, R0, 6","LOAD R4, R13, R2",RAW
"ADD R6, R1, R2","XOR R11, R3, 10",No_CONFLICT
"OR R2, R0, 0","SUB R4, R2, R2",RAW
"XOR R9, R0, 49","AND R5, R9, R2",RAW
"OR R0, R0, 32","SUB R0, R0, 44",WAW
"MUL R12, R0, 30","MUL R12, R0, 28",WAW
"SHIFT R15, R0, 11","LOAD R15, R0, 47",WAW
"MUL R7, R1, R2","LOAD R14, R3, 10",No_CONFLICT
"AND R1, R1, R2","SUB R1, R1, R3",WAR
"DIV R2, R1, R2","SUB R5, R3, 10",No_CONFLICT
"MUL R6, R0, 29","AND R5, R6, R2",RAW
"DIV R7, R1, R2","AND R0, R3, 10",No_CONFLICT
"OR R8, R0, 47","AND R8, R0, 44",WAW
"OR R0, R0, 6","AND R1, R0, R2",RAW
"DIV R12, R0, 29","LOAD R7, R12, R2",RAW
"SUB R11, R0, 15","SUB R13, R11, R2",RAW
"STORE R15, R1, R2","SUB R15, R15, R3",WAR
"SHIFT R14, R1, R2","STORE R7, R3, 10",No_CONFLICT
"OR R14, R1, R2","AND R12, R3, 10",No_CONFLICT
"LOAD R4, R0, 42","DIV R13, R4, R2",RAW
"SUB R1, R0, 36","SUB R1, R0, 13",WAW
"DIV R15, R1, R2","SHIFT R8, R15, R3",WAR
"DIV R1, R0, 10","AND R1, R0, 23",WAW
"AND R13, R0, 9","SHIFT R3, R13, R2",RAW
"OR R14, R1, R2","OR R13, R14, R3",WAR
"STORE R3, R1, R2","OR R3, R3, R3",WAR
"OR R5, R1, R2","SHIFT R12, R5, R3",WAR
"AND R5, R1, R2","XOR R10, R3, 10",No_CONFLICT
"SUB R13, R0, 20","ADD R1, R13, R2",RAW
"OR R1, R1, R2","MUL R11, R1, R3",WAR
"ADD R8, R0, 14","LOAD R8, R0, 43",WAW
"AND R10, R0, 20","MUL R10, R0, 42",WAW
"DIV R2, R1, R2","OR R1, R2, R3",WAR
"DIV R5, R1, R2","SHIFT R7, R3, 10",No_CONFLICT
"SHIFT R9, R0, 46","STORE R11, R9, R2",RAW
"ADD R1, R1, R2","LOAD R3, R3, 10",No_CONFLICT
"DIV R5, R1, R2","SHIFT R4, R3, 10",No_CONFLICT
"STORE R11, R1, R2","MUL R9, R3, 10",No_CONFLICT
"LOAD R2, R1, R2","AND R1, R3, 10",No_CONFLICT
